Категорія,номенклатура,Назва,Кат 1 ,Кат 2,Кат 3,Кат 6,Залишок
Бакалія,,,,,,,
,1789,"Ананас ""Gold"" кільця 580 мл.*24 ж/б",28.00,30.00,32.00,27.00,130
,583,"Ананас ""Gold"" кусочки 580 мл.*24 ж/б",24.00,26.00,27.00,23.00,78
,14719,"Горошок ЕКО""OL 420 г*12",14.00,14.50,15.20,13.70,1
,13560,"Кукурудза десертна ""Голд"" 425г *12 Україна",15.00,15.80,16.50,14.30,317
,12025,Молоко згущене 425г *30 Білорусія,32.00,33.00,34.00,31.00,32
,13972,"Оливки  ""Heraclio""  б/к 300г*12",25.00,26.00,27.00,24.50,29
,14760,"Оливки ""Rean""  зелені с/б 300г*12",28.50,30.00,31.30,28.00,145
,11201,"Оливки ""Rean""  чорні с/б 300г*12",28.50,30.00,31.30,28.00,86
,13541,"Олія оливкова 1л х12шт ж/б ""Goccia doro""(Італія)",120.00,126.00,135.00,117.00,117
,12661,Пластівці глазуровані 250г*30 (Білорусія),18.00,19.00,20.00,17.20,156
,12478,Пластівці глазуровані 330г*24 Білорусія),21.00,22.00,23.00,20.00,419
,13722,Снаки (Польща) 200грх50шт,10.50,11.00,11.50,10.30,803
,13723,Снаки (Польща) 400грх25шт,21.00,22.00,23.00,20.50,1114
ТМ Віталент,,,,,,,
,14847,Boomer супергерой 5 под. Тату  Полуниця  жув гумка  20гр х 24 х 20,95.00,100.00,105.00,90.00,24
,14849,Centr shock - кавун жув гумка з начинкою кисла 4гр х 20 х 100,60.00,64.00,66.50,57.00,8
,14848,Centr shock - полуниця  жув гумка з начинкою кисла 4гр х 20 х 100,60.00,63.00,66.00,57.00,9
,14851,L.O.L. велике яйце сюрприз (лялька ЛОЛ + печиво с шоколадом) 15гр х 6 х 6,400.00,422.00,445.00,380.00,1
,14863,Електро шок кисла жувальная цукерка 5гр х 20 х 60,66.50,70.00,74.00,63.00,7
,14852,Жув цукерка L.O.L. Тату 5 подушек Тату Банан  20гр х 20 х 16,70.00,75.00,78.00,68.50,16
,14854,Жув цукерка L.O.L. Тату 5 подушек Тату Вишня 20гр х 20 х 16,70.00,75.00,78.00,68.50,16
,14853,Жув цукерка L.O.L. Тату 5 подушек Тату Полуниця  20гр х 20 х 16,70.00,75.00,78.00,66.50,18
,14870,Жув. гумка в банці TURBO з наклейкой 4гр х 6 х 300,265.00,276.00,290.00,250.00,5
,14850,Жувальна гумка L.O.L. 5 подушек Тату Полуниця  20гр х 24 х 20,112.00,118.00,125.00,106.00,24
,14866,Жувальна гумка Love is нептун + наклейка вкладиш 4гр х 10 х 100,33.20,35.00,36.70,31.50,7
,14862,Леденец Газировка Неон + светящаяся палочка 10гр х 24 х 30,88.00,93.00,97.00,84.00,13
,14861,Леденец Неон Яйцо ( Egg neon) 10гр х 24 х 30,88.00,93.00,97.00,84.00,23
,14864,Светящийся летающий Вертолет + жевательные конфеты 4гр х 12 х 24,160.00,167.00,176.00,152.00,4
,14855,Турбо машинка фігурка   King EGG 15гр х 12 х 24,132.00,138.00,145.00,125.50,21
,14865,Фруктовый желейный микс 15гр х 12 х 48,138.00,145.00,155.00,130.00,4
,14860,Чарівні магніти + стріляюча шокуюча крамель 1гр х 12 х 36,260.00,270.00,286.00,247.00,10
Lavazza,,,,,,,
,863,Lavazza Crema e Gusto бр.250гр.*20шт.(Асканія),80.00,83.00,87.00,78.00,19
Кава,,,,,,,
,14902,Чорна карта розч.Gold 60гр*30,36.50,38.00,39.50,36.00,86
,14936,Чорна карта розч.190грх6шт  Exc.Bras.с/б,90.00,95.00,100.00,86.00,59
,14937,Чорна карта розч.190грх6шт  Intense .с/б,90.00,95.00,100.00,86.00,56
,14967,Чорна карта розч.Gold 250*10 пак.,96.00,100.00,105.00,95.00,132
"Кава Elite""Fort"" розчинна",,,,,,,
,13825,Elite Fort Brazil розч. 70грх20шт пакет,25.60,26.85,28.20,24.35,60
,13835,Elite Fort розч. 100г*24(Індія)ж/б,36.00,38.00,40.00,35.00,646
,13836,Elite Fort розч. 200г*12(Індія) ж/б,73.00,76.80,80.50,70.00,87
,13838,Elite Fort розч. 50г*48(Індія) ж/б,19.50,21.00,22.00,18.50,2270
,13839,Elite Fort розч. в гран.100г*24(Індія)ж/б,40.00,42.00,44.00,38.00,471
,13840,Elite Fort розч. в гран.200г*12(Індія) ж/б,78.00,82.00,86.00,74.00,159
,13841,Elite Fort розч. в гран.50г*24(Індія)ж/б,21.50,22.50,24.00,21.00,481
,13900,Elite Fort розч.порошок пакет 95*20,33.50,35.00,37.00,33.00,547
,13899,Elite Fort розч.порошок пакет 150*15,51.00,54.00,56.50,49.00,410
,13993,Elite Fort розч. гранули  пакет 140*16,54.85,57.60,60.50,52.25,48
,13994,Elite Fort розч. гранули  пакет 70грх20шт,28.90,30.30,31.85,27.50,91
,14003,Elite Fort розч. гранули  пакет 285*12,109.45,114.90,120.60,104.25,11
,14418,Elite Fort розч.порошок пакет 120*20,40.00,42.00,44.00,38.00,525
,14976,Elite Fort розч. гранули  пакет 400*10,110.00,115.00,120.00,108.00,411
,14966,Elite Fort розч.порошок пакет 60гр*30шт,25.50,27.00,28.00,24.50,137
,14990,Elite Fort розч. 500г*4(Індія) ж/б,175.00,185.00,195.00,168.00,31
"Кава""Петровська Слобода""",,,,,,,
,1554,"Петровська Слобода"" 3х1  25штх 40уп  Класична",52.00,54.00,56.00,51.00,11
,1504,"Петровська Слобода"" 3х1 карам. 25штх20уп",52.00,54.00,56.00,51.00,15
,1503,"Петровська Слобода"" 3х1 Міцний 25штх40 уп",52.00,54.00,56.00,51.00,28
,1696,"Петровська Слобода"" 3х1 миндаль  25штх20уп",52.00,54.00,56.00,51.00,1
,13559,"Петровська Слобода"" 3х1 пломбір 25штх20уп",52.00,54.00,56.00,51.00,22
"Кава ""Gimoka",,,,,,,
,14878,"1000гр зер. Кава ""Gimoka Nero Gran Gala (чорна)*12",152.50,160.20,168.00,145.30,1
,14892,"Dolce Aroma Gusto Ricco 400гр *16 розч., сублім,",150.00,165.00,170.00,145.00,13
MacCoffee,,,,,,,
,14369,Нап.розч.МасCoffee 3в1 Айріш крім 18г(20пак х25 ),46.00,48.00,51.00,45.00,162
,14371,Нап.розч.МасCoffee 3в1 Амаретто 18г(20пак х 25),46.00,48.00,51.00,45.00,85
